X,Y,FID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Weekdays_O,Weekdays_1,Saturdays_,Saturdays1,Sundays_On,Sundays_Of
-8366623.75990477,4862219.94907776,149,Bus,APC,4,Northbound,17274,Broad St & Master St,39.97438,-75.15866,11,26,11,17,7,6
-8366590.69801601,4862417.79896339,150,Bus,APC,4,Northbound,17275,Broad St & Jefferson St,39.975742,-75.158363,22,28,11,11,5,9
-8366562.64550433,4862618.99396991,151,Bus,APC,4,Northbound,17276,Broad St & Oxford St,39.977127,-75.158111,52,38,34,36,31,26
-8366529.58361556,4862819.0308816,152,Bus,APC,4,Northbound,17277,Broad St & Cecil B Moore Av,39.978504,-75.157814,92,65,70,52,52,28
-8366486.16901415,4863091.12822757,153,Bus,APC,4,Northbound,17278,Broad St & Montgomery Av - FS,39.980377,-75.157424,10,17,2,8,5,8
-8366454.77691775,4863268.94707384,154,Bus,APC,4,Northbound,17279,Broad St & Polett Walk,39.981601,-75.157142,6,10,5,1,0,4
-8366419.93391713,4863478.44035717,155,Bus,APC,4,Northbound,17280,Broad St & Norris St,39.983043,-75.156829,6,24,6,19,8,5
-8366376.63063521,4863741.69338704,156,Bus,APC,4,Northbound,17281,Broad St & Diamond St - FS,39.984855,-75.15644,16,26,6,20,5,14
-8366343.56874645,4863929.54874172,157,Bus,APC,4,Northbound,17282,Broad St & Susquehanna Av,39.986148,-75.156143,28,53,28,36,10,23
-8366305.27484161,4864163.46486482,158,Bus,APC,4,Northbound,17283,Broad St & Dauphin St,39.987758,-75.155799,38,36,21,27,17,22
-8366268.76204864,4864379.07939149,159,Bus,APC,4,Northbound,17284,Broad St & York St,39.989242,-75.155471,17,16,10,11,9,8
-8366231.47001922,4864599.63872011,160,Bus,APC,4,Northbound,17286,Broad St & Cumberland St,39.99076,-75.155136,2,24,6,17,6,15
-8366195.73646268,4864818.6046413,161,Bus,APC,4,Northbound,17287,Broad St & Huntingdon St,39.992267,-75.154815,7,14,4,9,1,7
-8366163.45381035,4865036.41296169,162,Bus,APC,4,Northbound,17288,Broad St & Lehigh Av,39.993766,-75.154525,53,100,38,63,24,51
-8366124.38066908,4865277.03931906,163,Bus,APC,4,Northbound,17290,Broad St & Somerset St,39.995422,-75.154174,11,10,2,11,4,4
-8366087.8678761,4865458.82070784,164,Bus,APC,4,Northbound,17291,Broad St & Glenwood Av,39.996673,-75.153846,15,27,15,20,11,13
-8366044.56459418,4865716.60434185,165,Bus,APC,4,Northbound,17296,Broad St & Indiana Av,39.998447,-75.153457,7,8,2,4,4,5
-8366004.71221647,4865964.36775353,166,Bus,APC,4,Northbound,17297,Broad St & Clearfield St - FS,40.000152,-75.153099,2,13,0,13,0,6
-8365583.36794382,4866494.93648967,167,Bus,APC,4,Northbound,17363,Rising Sun Av & Germantown Av,40.003803,-75.149314,23,37,16,23,6,24
-8365473.82956488,4866565.85552318,168,Bus,APC,4,Northbound,17365,Rising Sun Av & Old York Rd - FS,40.004291,-75.14833,5,10,3,10,1,5
-8365299.72588128,4866667.87518591,169,Bus,APC,4,Northbound,17366,Rising Sun Av & 11th St,40.004993,-75.146766,13,22,10,24,8,14
-8364897.19460257,4866900.1118914,170,Bus,APC,4,Northbound,17367,Rising Sun Av & 9th St,40.006591,-75.14315,7,24,3,28,3,14
-8364813.92762346,4867345.85301353,171,Bus,APC,4,Northbound,17368,9th St & Butler St,40.009658,-75.142402,13,22,7,14,9,11
-8364775.74503811,4867561.53670326,172,Bus,APC,4,Northbound,17369,9th St & Pike St,40.011142,-75.142059,12,50,11,35,10,21
-8364740.01148157,4867776.64370581,173,Bus,APC,4,Northbound,17370,9th St & Luzerne St,40.012622,-75.141738,12,50,4,27,4,19
-8364703.49868859,4867995.67975064,174,Bus,APC,4,Northbound,17372,9th St & Lycoming St,40.014129,-75.14141,7,35,7,28,3,16
-8364666.20665917,4868229.11034839,175,Bus,APC,4,Northbound,17374,9th St & Hunting Park Av,40.015735,-75.141075,14,42,13,29,10,21
-8364625.35240605,4868458.62187702,176,Bus,APC,4,Northbound,17375,9th St & Bristol St,40.017314,-75.140708,9,28,4,16,4,12
-8364588.83961307,4868678.25441116,177,Bus,APC,4,Northbound,17377,9th St & Cayuga St,40.018825,-75.14038,7,25,6,16,5,8
-8364537.96660578,4868968.2465768,178,Bus,APC,4,Northbound,17379,9th St & Roosevelt Blvd,40.02082,-75.139923,12,37,7,30,6,21
-8364500.56325687,4869171.75491377,179,Bus,APC,4,Northbound,17381,9th St & Roosevelt Blvd - FS,40.02222,-75.139587,2,6,0,4,1,3
-8364469.95039691,4869338.19876502,180,Bus,APC,4,Northbound,17382,9th St & Wyoming Av,40.023365,-75.139312,4,7,3,7,0,3
-8364395.25501858,4869786.23006744,181,Bus,APC,4,Northbound,17384,9th St & Rockland St,40.026447,-75.138641,10,59,11,43,5,33
-8364357.85166968,4870002.98446779,182,Bus,APC,4,Northbound,17386,9th St & Ruscomb St,40.027938,-75.138305,10,29,2,22,3,16
-8364321.3388767,4870222.65120533,183,Bus,APC,4,Northbound,17387,9th St & Lindley Av,40.029449,-75.137977,14,33,7,25,7,17
-8364283.93552779,4870445.08509038,184,Bus,APC,4,Northbound,17389,9th St & Duncannon Av,40.030979,-75.137641,4,18,0,11,3,5
-8364247.42273481,4870670.7224689,185,Bus,APC,4,Northbound,17390,9th St & Fisher Av,40.032531,-75.137313,5,14,3,9,2,10
-8364418.18683368,4870721.75328381,186,Bus,APC,4,Northbound,17393,Fisher Av & 10th St,40.032882,-75.138847,5,8,3,10,0,5
-8364559.11730903,4870988.54258886,187,Bus,APC,4,Northbound,17394,11th St & Somerville Av - FS,40.034717,-75.140113,0,11,0,4,0,4
